designator,type,upper,lower,name,value
AGGG,FIR,,0.0,Honiara FIR,0.005963300639438965
ANAU,FIR,,0.0,Nauru FIR,0.0010938910643895807
AYPM,FIR,,0.0,Port Moresby FIR,0.08385828901551201
BGGL,FIR,,0.0,Nuuk FIR,1.0210945952480046
BIRD,FIR,,0.0,Reykjavik FIR,1.3195910585818402
,NO_FIR,,0.0,,0.005782240510004274
CZEG,FIR,,0.0,Edmonton FIR,1.3365213418302915
CZQM,FIR,,0.0,Moncton FIR,0.7359417713120336
CZQX,FIR,,0.0,Gander FIR,4.308185098229027
CZUL,FIR,,0.0,Montreal FIR,0.7954318962270647
CZVR,FIR,,0.0,Vancouver FIR,0.4429125913684847
CZWG,FIR,,0.0,Winnipeg FIR,0.8555296142525899
CZYZ,FIR,,0.0,Toronto FIR,0.4065770917579936
DAAA,FIR,,0.0,Alger FIR,0.11156308282679879
DGAC,FIR,,0.0,Accra FIR,0.058504762082371625
DNKK,FIR,,0.0,Kano FIR,0.0943520706335928
DRRR,FIR,245.0,0.0,Niamey FIR,0.08458827363870833
DRRR,UIR,,245.0,Niamey UIR,0.08458827363870833
DTTC,FIR,245.0,0.0,Tunis FIR,0.01939519449984699
DTTC,UIR,,245.0,Tunis UIR,0.01939519449984699
EBBU,FIR,195.0,0.0,Brussels FIR,0.18948588927861193
EBUR,UIR,,195.0,Brussels UIR,0.18948588927861193
EDGG,FIR,245.0,0.0,Langen FIR,0.7145227029340018
EDMM,FIR,245.0,0.0,Munchen FIR,0.6805826238317749
EDUU,UIR,,245.0,Rhein UIR,1.657581326058652
EDVV,UIR,,245.0,Hannover UIR,0.7614436341013859
EDWW,FIR,245.0,0.0,Bremen FIR,1.0239196333942613
EETT,FIR,,0.0,Tallinn FIR,0.23795884877390444
EFIN,FIR,285.0,0.0,Helsinki FIR,0.38081289403668606
EFIN,UIR,,285.0,Helsinki UIR,0.38081289403668606
EGGX,FIR,,0.0,Shanwick FIR,3.702326866018824
EGPX,FIR,245.0,0.0,Scottish FIR,0.8771884806188593
EGPX,UIR,,245.0,Scottish UIR,0.8771884806188593
EGTT,FIR,245.0,0.0,London FIR,0.9247802844410177
EGTT,UIR,,245.0,London UIR,0.9247802844410177
EHAA,FIR,,0.0,Amsterdam FIR,0.336522331838493
EISN,FIR,245.0,0.0,Shannon FIR,0.5150057172076212
EISN,UIR,,245.0,Shannon UIR,0.5150057172076212
EKDK,FIR,,0.0,Copenhagen FIR,0.27696897114843666
ENOB,FIR,,0.0,Bodo Oceanic FIR,0.15142253835963565
ENOR,FIR,,0.0,Polaris FIR,0.39121872436824606
EPWW,FIR,,0.0,Warszawa FIR,1.7177841804763332
ESAA,FIR,,0.0,Sweden FIR,0.9055353043003133
EVRR,FIR,,0.0,Riga FIR,0.34749935741254323
EYVL,FIR,195.0,0.0,Vilnius FIR,0.3253750093262856
EYVL,UIR,,195.0,Vilnius UIR,0.3253750093262856
FACA,FIR,,0.0,Cape Town FIR,0.007524252739062257
FAJA,FIR,,0.0,Johannesburg FIR,0.013451777681266684
FAJO,FIR,,0.0,Johannesburg Oceanic FIR,0.02280811291738319
FBGR,FIR,,0.0,Gaborone FIR,0.007457742127627322
FCCC,FIR,245.0,0.0,Brazzaville FIR,0.18639105436335923
FCCC,UIR,,245.0,Brazzaville UIR,0.18639105436335923
FIMM,FIR,,0.0,Mauritius FIR,0.04251220847846437
FLFI,FIR,,0.0,Lusaka FIR,0.024716335432659026
FMMM,FIR,245.0,0.0,Antananarivo FIR,0.015433549563563086
FMMM,UIR,,245.0,Antananarivo UIR,0.015433549563563086
FNAN,FIR,145.0,0.0,Luanda FIR,0.08995913700475744
FNAN,UIR,,145.0,Luanda UIR,0.08995913700475744
FQBE,FIR,,0.0,Beira FIR,0.018882283310516577
FSSS,FIR,,0.0,Seychelles FIR,0.07055618286059585
FTTT,FIR,245.0,0.0,N'Djamena FIR,0.11596074228599645
FTTT,UIR,,245.0,N'Djamena UIR,0.11596074228599645
FVHF,FIR,245.0,0.0,Harare FIR,0.00802170812975895
FVHF,UIR,,245.0,Harare UIR,0.00802170812975895
FWLL,FIR,,0.0,Lilongwe FIR,0.005087778748846666
FYWF,FIR,,0.0,Windhoek FIR,0.0048985934283115075
FZZA,FIR,245.0,0.0,Kinshasa FIR,0.12589017768088545
FZZA,UIR,,245.0,Kinshasa UIR,0.12589017768088545
GCCC,FIR,195.0,0.0,Canarias FIR,0.05144670554090889
GCCC,UIR,245.0,195.0,Canarias UIR,0.002461164983991077
GCCC,UIR,,195.0,Canarias UIR,0.04898554055691781
GLRB,FIR,,0.0,Roberts FIR,0.01599805841616541
