full_name,Station Code,latitude,longitude,Altitude,Number of Sonde Profiles,First Launch,Latest Launch,GRUAN Status,,,,
"Lindenberg, Germany",LIN,52.21,14.12,98 m,25453,01/07/2004,03/07/2025,certified,,,,
"Lamont, OK, USA",SGP,36.6,-97.49,320 m,12191,01/01/2009,10/01/2025,certified,,,,
"Sodankylä, Finland",SOD,67.37,26.63,179 m,8978,15/05/2007,17/06/2025,certified,,,,
"Barrow, AK, USA",BAR,71.32,-156.61,8 m,7285,30/08/2009,11/01/2025,certified,,,,
"Tateno, Japan",TAT,36.06,140.13,27 m,5754,14/12/2009,02/07/2025,certified,,,,
"Ny-Ålesund, Svalbard (DE, FR)",NYA,78.92,11.93,5 m,5176,20/05/2006,03/07/2025,certified,,,,
"Tenerife, Spain",TEN,28.32,-16.38,115 m,5057,02/10/2008,02/07/2025,uncertified,,,,
"Payerne, Switzerland",PAY,46.81,6.95,491 m,4959,23/09/2011,03/07/2025,certified,,,,
"Lauder, New Zealand",LAU,-45.05,169.68,370 m,3951,11/12/2012,03/06/2025,certified,,,,
"Graciosa, Portugal",GRA,39.09,-28.03,30 m,3913,27/07/2014,11/01/2025,uncertified,,,,
"Cabauw, Netherlands",CAB,51.97,4.92,1 m,3897,01/01/2011,03/07/2025,certified,,,,
"Minamitorishima, Japan",MTS,24.29,153.98,9 m,3550,01/01/2018,31/10/2024,uncertified,,,,
"Syowa, Antarctica (JP)",SYO,-69,39.58,22 m,3258,23/06/2018,25/06/2025,uncertified,,,,
"Singapore, Singapore",SNG,1.3,103.8,21 m,3064,20/12/2016,02/07/2025,certified,,,,
"Hong Kong, China",HKO,22.3,114.17,32 m,2866,01/10/2020,03/07/2025,uncertified,,,,
"Manus, Papua New Guinea",MAN,-2.06,147.42,6 m,1307,01/01/2011,06/07/2014,historical,,,,
"Ross Island, Antarctica (NZ, US)",ROS,-77.85,166.65,10 to 200 m,1228,19/12/2018,24/03/2025,certified,,,,
"Nauru, Nauru",NAU,-0.52,166.92,7 m,1076,25/03/2009,26/08/2013,historical,,,,
"Beltsville, MD, USA",BEL,39.05,-76.88,53 m,859,16/10/2012,25/06/2025,certified,,,,
"Neumayer, Antarctica (DE)",GVN,-70.65,-8.25,43 m,694,22/02/2020,03/07/2025,uncertified,,,,
"Potenza, Italy",POT,40.6,15.72,720 m,617,23/02/2011,12/05/2025,certified,,,,
"Paramaribo, Suriname",PMO,5.81,-55.21,4 m,604,12/06/2015,30/06/2025,uncertified,,,,
"Boulder, CO, USA",BOU,39.95,-105.2,1743 m,481,13/07/2011,05/05/2025,certified,,,,
"Xilin Hot, China",XIL,43.95,116.12,1013 m,139,25/11/2023,29/04/2025,certified,,,,
"Darwin, Australia",DAR,-12.43,130.89,30 m,112,01/06/2018,30/06/2018,candidate,,,,
"La Réunion, France",REU,-20.89,55.49,13 to 2200 m,87,08/04/2013,31/01/2019,uncertified,,,,
